"BehaviorSpace results (NetLogo 6.1.1)"
"COVID-19_Urban_and_Rural_Model.nlogo"
"experiment"
"08/29/2020 15:39:32:078 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","1","1","1","1","1","1","2","2","2","2","2","2","3","3","3","3","3","3","4","4","4","4","4","4","5","5","5","5","5","5","6","6","6","6","6","6","7","7","7","7","7","7","8","8","8","8","8","8"
"schools-open-phase3","false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,
"schools-open-phase5","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"grocery-distance-phase3","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"restriction-type","New York",,,,,,"New York",,,,,,"New York",,,,,,"New York",,,,,,"New York",,,,,,"New York",,,,,,"New York",,,,,,"New York",,,,,
"fifties-pct","12.9",,,,,,"12.9",,,,,,"12.9",,,,,,"12.9",,,,,,"12.9",,,,,,"12.9",,,,,,"12.9",,,,,,"12.9",,,,,
"resturant-mode-phase2","outdoor",,,,,,"outdoor",,,,,,"outdoor",,,,,,"outdoor",,,,,,"outdoor",,,,,,"outdoor",,,,,,"outdoor",,,,,,"outdoor",,,,,
"social-distance-phase1","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"grocery-distance-phase5","false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,
"seventies-pct","7.2",,,,,,"7.2",,,,,,"7.2",,,,,,"7.2",,,,,,"7.2",,,,,,"7.2",,,,,,"7.2",,,,,,"7.2",,,,,
"schools-open-phase1","false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,
"grocery-distance-phase1","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"masks-phase5","false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,
"schools-open-lockdown","false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,
"stay-at-home-lockdown","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"retail-mode-phase4","open",,,,,,"open",,,,,,"open",,,,,,"open",,,,,,"open",,,,,,"open",,,,,,"open",,,,,,"open",,,,,
"resturant-mode-lockdown","takeout",,,,,,"takeout",,,,,,"takeout",,,,,,"takeout",,,,,,"takeout",,,,,,"takeout",,,,,,"takeout",,,,,,"takeout",,,,,
"stay-at-home-phase4","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"masks-phase1","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"twenties-pct","13.7",,,,,,"13.7",,,,,,"13.7",,,,,,"13.7",,,,,,"13.7",,,,,,"13.7",,,,,,"13.7",,,,,,"13.7",,,,,
"masks-phase3","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"resturant-mode-phase3","indoor",,,,,,"indoor",,,,,,"indoor",,,,,,"indoor",,,,,,"indoor",,,,,,"indoor",,,,,,"indoor",,,,,,"indoor",,,,,
"phase3-start-day","365",,,,,,"365",,,,,,"365",,,,,,"365",,,,,,"365",,,,,,"365",,,,,,"365",,,,,,"365",,,,,
"thirties-pct","13.5",,,,,,"13.5",,,,,,"13.5",,,,,,"13.5",,,,,,"13.5",,,,,,"13.5",,,,,,"13.5",,,,,,"13.5",,,,,
"social-distance-phase2","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"resturant-mode-phase5","full capacity",,,,,,"full capacity",,,,,,"full capacity",,,,,,"full capacity",,,,,,"full capacity",,,,,,"full capacity",,,,,,"full capacity",,,,,,"full capacity",,,,,
"social-distance-phase4","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"phase4-start-day","365",,,,,,"365",,,,,,"365",,,,,,"365",,,,,,"365",,,,,,"365",,,,,,"365",,,,,,"365",,,,,
"schools-open-phase2","false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,
"retail-mode-phase2","open",,,,,,"open",,,,,,"open",,,,,,"open",,,,,,"open",,,,,,"open",,,,,,"open",,,,,,"open",,,,,
"stay-at-home-phase2","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"phase1-start-day","365",,,,,,"365",,,,,,"365",,,,,,"365",,,,,,"365",,,,,,"365",,,,,,"365",,,,,,"365",,,,,
"phase5-start-day","365",,,,,,"365",,,,,,"365",,,,,,"365",,,,,,"365",,,,,,"365",,,,,,"365",,,,,,"365",,,,,
